['NO: ', 'qqvideo\\285.jpg', ' number: ', array(93.57584, dtype=float32)]
['NO: ', 'qqvideo\\290.jpg', ' number: ', array(90.41001, dtype=float32)]
['NO: ', 'qqvideo\\295.jpg', ' number: ', array(98.28668, dtype=float32)]
['NO: ', 'qqvideo\\30.jpg', ' number: ', array(92.686806, dtype=float32)]
['NO: ', 'qqvideo\\300.jpg', ' number: ', array(105.22887, dtype=float32)]
['NO: ', 'qqvideo\\305.jpg', ' number: ', array(97.39268, dtype=float32)]
['NO: ', 'qqvideo\\310.jpg', ' number: ', array(89.5839, dtype=float32)]
['NO: ', 'qqvideo\\315.jpg', ' number: ', array(81.67466, dtype=float32)]
['NO: ', 'qqvideo\\320.jpg', ' number: ', array(84.05724, dtype=float32)]
['NO: ', 'qqvideo\\325.jpg', ' number: ', array(102.691246, dtype=float32)]
['NO: ', 'qqvideo\\330.jpg', ' number: ', array(95.8664, dtype=float32)]
['NO: ', 'qqvideo\\335.jpg', ' number: ', array(102.83435, dtype=float32)]
['NO: ', 'qqvideo\\340.jpg', ' number: ', array(102.11162, dtype=float32)]
['NO: ', 'qqvideo\\345.jpg', ' number: ', array(103.3054, dtype=float32)]
['NO: ', 'qqvideo\\35.jpg', ' number: ', array(97.35699, dtype=float32)]
['NO: ', 'qqvideo\\350.jpg', ' number: ', array(96.19601, dtype=float32)]
['NO: ', 'qqvideo\\355.jpg', ' number: ', array(113.44311, dtype=float32)]
['NO: ', 'qqvideo\\360.jpg', ' number: ', array(99.129845, dtype=float32)]
['NO: ', 'qqvideo\\365.jpg', ' number: ', array(88.84425, dtype=float32)]
['NO: ', 'qqvideo\\370.jpg', ' number: ', array(77.265175, dtype=float32)]
['NO: ', 'qqvideo\\375.jpg', ' number: ', array(92.97287, dtype=float32)]
['NO: ', 'qqvideo\\380.jpg', ' number: ', array(105.97183, dtype=float32)]
['NO: ', 'qqvideo\\385.jpg', ' number: ', array(93.80852, dtype=float32)]
['NO: ', 'qqvideo\\390.jpg', ' number: ', array(113.40438, dtype=float32)]
['NO: ', 'qqvideo\\395.jpg', ' number: ', array(101.18297, dtype=float32)]
['NO: ', 'qqvideo\\40.jpg', ' number: ', array(101.53881, dtype=float32)]
['NO: ', 'qqvideo\\400.jpg', ' number: ', array(86.788864, dtype=float32)]
['NO: ', 'qqvideo\\405.jpg', ' number: ', array(84.828995, dtype=float32)]
['NO: ', 'qqvideo\\410.jpg', ' number: ', array(132.33263, dtype=float32)]
['NO: ', 'qqvideo\\415.jpg', ' number: ', array(133.52043, dtype=float32)]
['NO: ', 'qqvideo\\420.jpg', ' number: ', array(110.48623, dtype=float32)]
['NO: ', 'qqvideo\\425.jpg', ' number: ', array(90.6936, dtype=float32)]
['NO: ', 'qqvideo\\430.jpg', ' number: ', array(123.673775, dtype=float32)]
['NO: ', 'qqvideo\\435.jpg', ' number: ', array(118.52947, dtype=float32)]
['NO: ', 'qqvideo\\440.jpg', ' number: ', array(140.57422, dtype=float32)]
['NO: ', 'qqvideo\\445.jpg', ' number: ', array(151.18573, dtype=float32)]
['NO: ', 'qqvideo\\45.jpg', ' number: ', array(94.75061, dtype=float32)]
['NO: ', 'qqvideo\\450.jpg', ' number: ', array(119.09739, dtype=float32)]
['NO: ', 'qqvideo\\455.jpg', ' number: ', array(128.6207, dtype=float32)]
['NO: ', 'qqvideo\\460.jpg', ' number: ', array(111.14332, dtype=float32)]
['NO: ', 'qqvideo\\465.jpg', ' number: ', array(96.998024, dtype=float32)]
['NO: ', 'qqvideo\\470.jpg', ' number: ', array(105.35851, dtype=float32)]
['NO: ', 'qqvideo\\475.jpg', ' number: ', array(107.48231, dtype=float32)]
['NO: ', 'qqvideo\\480.jpg', ' number: ', array(121.99242, dtype=float32)]
['NO: ', 'qqvideo\\485.jpg', ' number: ', array(124.055275, dtype=float32)]
['NO: ', 'qqvideo\\490.jpg', ' number: ', array(114.374886, dtype=float32)]
['NO: ', 'qqvideo\\495.jpg', ' number: ', array(117.62766, dtype=float32)]
['NO: ', 'qqvideo\\5.jpg', ' number: ', array(84.17899, dtype=float32)]
['NO: ', 'qqvideo\\50.jpg', ' number: ', array(84.07281, dtype=float32)]
['NO: ', 'qqvideo\\500.jpg', ' number: ', array(108.409134, dtype=float32)]
['NO: ', 'qqvideo\\505.jpg', ' number: ', array(122.399475, dtype=float32)]
['NO: ', 'qqvideo\\510.jpg', ' number: ', array(113.69037, dtype=float32)]
['NO: ', 'qqvideo\\515.jpg', ' number: ', array(101.65816, dtype=float32)]
['NO: ', 'qqvideo\\520.jpg', ' number: ', array(133.33565, dtype=float32)]
['NO: ', 'qqvideo\\525.jpg', ' number: ', array(139.95088, dtype=float32)]
['NO: ', 'qqvideo\\530.jpg', ' number: ', array(122.56942, dtype=float32)]
['NO: ', 'qqvideo\\535.jpg', ' number: ', array(110.403015, dtype=float32)]
['NO: ', 'qqvideo\\540.jpg', ' number: ', array(128.02324, dtype=float32)]
['NO: ', 'qqvideo\\545.jpg', ' number: ', array(104.594734, dtype=float32)]
['NO: ', 'qqvideo\\55.jpg', ' number: ', array(88.873055, dtype=float32)]
['NO: ', 'qqvideo\\550.jpg', ' number: ', array(131.99854, dtype=float32)]
['NO: ', 'qqvideo\\555.jpg', ' number: ', array(125.013626, dtype=float32)]
['NO: ', 'qqvideo\\560.jpg', ' number: ', array(104.893845, dtype=float32)]
['NO: ', 'qqvideo\\565.jpg', ' number: ', array(107.6873, dtype=float32)]
['NO: ', 'qqvideo\\570.jpg', ' number: ', array(112.81199, dtype=float32)]
['NO: ', 'qqvideo\\575.jpg', ' number: ', array(109.85593, dtype=float32)]
['NO: ', 'qqvideo\\580.jpg', ' number: ', array(113.17453, dtype=float32)]
['NO: ', 'qqvideo\\585.jpg', ' number: ', array(111.43892, dtype=float32)]
['NO: ', 'qqvideo\\590.jpg', ' number: ', array(120.63958, dtype=float32)]
['NO: ', 'qqvideo\\595.jpg', ' number: ', array(102.48776, dtype=float32)]
['NO: ', 'qqvideo\\60.jpg', ' number: ', array(117.69923, dtype=float32)]
['NO: ', 'qqvideo\\600.jpg', ' number: ', array(116.71445, dtype=float32)]
['NO: ', 'qqvideo\\605.jpg', ' number: ', array(116.82658, dtype=float32)]
['NO: ', 'qqvideo\\610.jpg', ' number: ', array(112.46602, dtype=float32)]
['NO: ', 'qqvideo\\615.jpg', ' number: ', array(117.83352, dtype=float32)]
['NO: ', 'qqvideo\\620.jpg', ' number: ', array(113.08481, dtype=float32)]
['NO: ', 'qqvideo\\625.jpg', ' number: ', array(130.10272, dtype=float32)]
['NO: ', 'qqvideo\\630.jpg', ' number: ', array(121.971535, dtype=float32)]
['NO: ', 'qqvideo\\635.jpg', ' number: ', array(118.08094, dtype=float32)]
